2017
日期,最高气温,最低气温,天气,风向,风力,
2017-07-24,33,26,雷阵雨,东南风,1级,
2017-07-25,34,26,多云,东南风,1级,
2017-07-26,35,26,晴,南风,2级,
2017-07-27,35,26,多云,东南风,2级,
2017-07-28,35,26,多云,东南风,1级,
2017-07-29,37,28,多云,东风,1级,
2017-07-30,36,27,雷阵雨,南风,1级,
2017-07-31,36,26,雷阵雨,南风,2级,
日期,最高气温,最低气温,天气,风向,风力,
2017-08-01,35,28,雷阵雨,西风,2级,
2017-08-02,35,28,雷阵雨,东南风,1级,
2017-08-03,31,27,中雨,南风,2级,
2017-08-04,32,26,雷阵雨,东南风,2级,
2017-08-05,33,26,雷阵雨,南风,1级,
2017-08-06,35,26,多云,东南风,2级,
2017-08-07,37,28,晴,南风,2级,
2017-08-08,36,28,多云,南风,2级,
2017-08-09,35,27,雷阵雨,南风,2级,
2017-08-10,34,27,中雨,东南风,1级,
2017-08-11,34,28,雷阵雨,西南风,1级,
2017-08-12,35,28,多云,东南风,3级,
2017-08-13,35,28,多云,南风,1级,
2017-08-14,35,28,晴,南风,1级,
2017-08-15,35,28,晴,东南风,2级,
2017-08-16,34,28,雷阵雨,西风,1级,
2017-08-17,35,28,晴,东南风,2级,
2017-08-18,35,28,晴,东南风,2级,
2017-08-19,36,28,晴,东风,2级,
2017-08-20,36,28,晴,东风,2级,
2017-08-21,37,28,晴,东南风,1级,
2017-08-22,37,28,多云,东北风,2级,
2017-08-23,30,25,大到暴雨,东风,2级,
2017-08-24,31,26,雷阵雨,西风,1级,
2017-08-25,34,26,雷阵雨,北风,1级,
2017-08-26,35,25,雷阵雨,北风,1级,
2017-08-27,29,24,暴雨,东风,2级,
2017-08-28,29,25,大到暴雨,东风,1级,
2017-08-29,34,25,多云,东南风,微风,
2017-08-30,35,26,多云,东风,2级,
2017-08-31,35,26,雷阵雨,东北风,1级,
日期,最高气温,最低气温,天气,风向,风力,
2017-09-01,35,26,雷阵雨,东北风,1级,
2017-09-02,35,26,雷阵雨,东风,1级,
2017-09-03,34,25,雷阵雨,东北风,2级,
2017-09-04,30,25,中雨,东南风,微风,
2017-09-05,33,26,雷阵雨,东风,1级,
2017-09-06,33,26,雷阵雨,南风,1级,
2017-09-07,33,27,雷阵雨,东南风,微风,
2017-09-08,33,26,雷阵雨,南风,2级,
2017-09-09,33,26,雷阵雨,东风,1级,
2017-09-10,33,26,雷阵雨,东南风,1级,
2017-09-11,35,26,雷阵雨,东北风,1级,
2017-09-12,35,27,多云,东北风,2级,
2017-09-13,36,27,晴,东北风,1级,
2017-09-14,35,26,多云,东南风,2级,
2017-09-15,34,26,雷阵雨,北风,2级,
2017-09-16,35,25,晴,西南风,1级,
2017-09-17,35,26,晴,东北风,1级,
2017-09-18,35,26,晴,南风,1级,
2017-09-19,35,26,晴,南风,1级,
2017-09-20,34,26,多云,东南风,2级,
2017-09-21,34,26,雷阵雨,东风,1级,
2017-09-22,33,26,雷阵雨,东南风,2级,
2017-09-23,34,26,雷阵雨,东北风,1级,
2017-09-24,33,26,雷阵雨,东南风,2级,
2017-09-25,33,27,阵雨,南风,2级,
2017-09-26,35,27,晴,东北风,1级,
2017-09-27,35,27,晴,东南风,1级,
2017-09-28,36,26,晴,东风,2级,
2017-09-29,34,26,雷阵雨,西南风,微风,
2017-09-30,33,26,雷阵雨,东北风,1级,
日期,最高气温,最低气温,天气,风向,风力,
2017-10-01,33,26,雷阵雨,东风,微风,
2017-10-02,34,27,多云,东风,微风,
2017-10-03,34,25,多云,东风,1级,
2017-10-04,33,26,雷阵雨,北风,1级,
2017-10-05,33,26,雷阵雨,西风,1级,
2017-10-06,34,26,多云,北风,2级,
2017-10-07,34,25,多云,东风,微风,
2017-10-08,34,26,晴,东北风,1级,
2017-10-09,33,26,雷阵雨,东南风,2级,
2017-10-10,34,26,多云,东北风,1级,
2017-10-11,33,24,多云,东风,1级,
2017-10-12,32,24,多云,北风,3级,
2017-10-13,29,22,晴,北风,3级,
2017-10-14,27,21,多云,东北风,2级,
2017-10-15,23,19,中到大雨,北风,2级,
2017-10-16,24,20,阵雨,南风,1级,
2017-10-17,27,20,多云,东北风,1级,
2017-10-18,29,21,多云,东北风,2级,
2017-10-19,28,21,多云,东北风,2级,
2017-10-20,27,20,多云,东北风,2级,
2017-10-21,28,19,多云,北风,3级,
2017-10-22,27,17,晴,东北风,2级,
2017-10-23,26,17,晴,东风,1级,
2017-10-24,28,19,晴,东北风,1级,
2017-10-25,29,19,晴,东北风,1级,
2017-10-26,20,0,晴,无持续风向,小于3级,
2017-10-27,19,0,晴,无持续风向,小于3级,
2017-10-28,18,0,晴,北风,3～4级,
2017-10-29,17,0,晴,北风,3～4级,
2017-10-30,27,16,晴,北风,2级,
2017-10-31,27,17,晴,东北风,1级,
日期,最高气温,最低气温,天气,风向,风力,
2017-11-01,27,16,晴,东北风,1级,
2017-11-02,28,18,晴,西北风,1级,
2017-11-03,29,17,晴,北风,2级,
2017-11-04,27,19,多云,东北风,2级,
2017-11-05,27,19,多云,东北风,2级,
2017-11-06,25,18,小雨,东北风,1级,
2017-11-07,22,17,中雨,北风,1级,
2017-11-08,24,18,小雨,北风,1级,
2017-11-09,27,19,多云,西风,微风,
2017-11-10,28,19,多云,东北风,1级,
2017-11-11,29,21,多云,东风,1级,
2017-11-12,27,20,多云,东南风,1级,
2017-11-13,24,19,小雨,东北风,1级,
2017-11-14,25,20,小雨,北风,微风,
2017-11-15,25,20,小雨,北风,2级,
2017-11-16,25,20,多云,南风,微风,
2017-11-17,26,16,多云,东北风,1级,
2017-11-18,23,13,小雨,北风,4级,
2017-11-19,16,12,小雨,北风,3级,
2017-11-20,15,11,小雨,东北风,2级,
2017-11-21,16,13,阴,东北风,2级,
2017-11-22,19,13,多云,北风,3级,
2017-11-23,19,14,多云,北风,2级,
2017-11-24,15,11,小雨,东北风,2级,
2017-11-25,14,12,阴,东风,1级,
2017-11-26,18,14,多云,北风,2级,
2017-11-27,22,16,多云,东北风,1级,
2017-11-28,24,18,多云,南风,1级,
2017-11-29,26,17,多云,南风,1级,
2017-11-30,24,14,多云,东南风,1级,
